Zeitstempel,Covid restrictions,Flu season
19.07.21,1,0
20.07.21,1,0
21.07.21,1,0
22.07.21,1,0
23.07.21,1,0
24.07.21,1,0
25.07.21,1,0
26.07.21,1,0
27.07.21,1,0
28.07.21,1,0
29.07.21,1,0
30.07.21,1,0
31.07.21,1,0
01.08.21,1,0
02.08.21,1,0
03.08.21,1,0
04.08.21,1,0
05.08.21,1,0
06.08.21,1,0
07.08.21,1,0
08.08.21,1,0
09.08.21,1,0
10.08.21,1,0
11.08.21,1,0
12.08.21,1,0
13.08.21,1,0
14.08.21,1,0
15.08.21,1,0
16.08.21,1,0
17.08.21,1,0
18.08.21,1,0
19.08.21,1,0
20.08.21,1,0
21.08.21,1,0
22.08.21,1,0
23.08.21,1,0
24.08.21,1,0
25.08.21,1,0
26.08.21,1,0
27.08.21,1,0
28.08.21,1,0
29.08.21,1,0
30.08.21,1,0
31.08.21,1,0
01.09.21,1,0
02.09.21,1,0
03.09.21,1,0
04.09.21,1,0
05.09.21,1,0
06.09.21,1,0
07.09.21,1,0
08.09.21,1,0
09.09.21,1,0
10.09.21,1,0
11.09.21,1,0
12.09.21,1,0
13.09.21,1,0
14.09.21,1,0
15.09.21,1,0
16.09.21,1,0
17.09.21,1,0
18.09.21,1,0
19.09.21,1,0
20.09.21,1,0
21.09.21,1,0
22.09.21,1,0
23.09.21,1,0
24.09.21,1,0
25.09.21,1,0
26.09.21,1,0
27.09.21,1,0
28.09.21,1,0
29.09.21,1,0
30.09.21,1,0
01.10.21,1,1
02.10.21,1,1
03.10.21,1,1
04.10.21,1,1
05.10.21,1,1
06.10.21,1,1
07.10.21,1,1
08.10.21,1,1
09.10.21,1,1
10.10.21,1,1
11.10.21,1,1
12.10.21,1,1
13.10.21,1,1
14.10.21,1,1
15.10.21,1,1
16.10.21,1,1
